,locus_tag,description
296,ctg1_2305,haloacid dehalogenase-like hydrolase
297,ctg1_2307,NAD dependent epimerase/dehydratase family
298,ctg1_2308,SWIB/MDM2 domain
299,ctg1_2309,"Alpha amylase, catalytic domain"
300,ctg1_2310,Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
301,ctg1_2310,"Alpha amylase, catalytic domain"
302,ctg1_2311,Integral membrane protein TerC family
303,ctg1_2312,ApaG domain
304,ctg1_2313,Ferrochelatase
305,ctg1_2315,Telomere recombination
306,ctg1_2315,"Threonylcarbamoyl-AMP synthase, C-terminal domain"
307,ctg1_2316,Polyketide cyclase / dehydrase and lipid transport
308,ctg1_2316,NAD dependent epimerase/dehydratase family
309,ctg1_2316,Domain of unknown function (DUF1731)
310,ctg1_2533,Endoribonuclease L-PSP
311,ctg1_2534,"Bacterial regulatory helix-turn-helix protein, lysR family"
312,ctg1_2534,LysR substrate binding domain
313,ctg1_2535,Putative prokaryotic signal transducing protein
314,ctg1_2537,Domain of unknown function (DUF4386)
315,ctg1_2539,His Kinase A (phospho-acceptor) domain
316,ctg1_2539,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
317,ctg1_2540,Response regulator receiver domain
318,ctg1_2540,"Bacterial regulatory proteins, luxR family"
319,ctg1_2541,"Galactose oxidase, central domain"
320,ctg1_2541,Kelch motif
321,ctg1_2543,FHA domain
322,ctg1_2543,GAF domain
323,ctg1_2543,His Kinase A (phospho-acceptor) domain
324,ctg1_2543,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
325,ctg1_2544,TfuA-like protein
326,ctg1_2545,"YcaO cyclodehydratase, ATP-ad Mg2+-binding"
327,ctg1_2548,Protein tyrosine and serine/threonine kinase
328,ctg1_2548,AAA ATPase domain
329,ctg1_2549,NAD dependent epimerase/dehydratase family
330,ctg1_2550,"Bacterial regulatory proteins, tetR family"
331,ctg1_2550,"Tetracyclin repressor-like, C-terminal domain"
332,ctg1_2573,Sigma-70 region 2
333,ctg1_2573,"Sigma-70, region 4"
334,ctg1_2576,GDSL-like Lipase/Acylhydrolase family
335,ctg1_2578,Putative zinc-finger
336,ctg1_2579,Sigma-70 region 2
337,ctg1_2579,"Sigma-70, region 4"
338,ctg1_2582,"YcaO cyclodehydratase, ATP-ad Mg2+-binding"
339,ctg1_2583,TfuA-like protein
340,ctg1_2584,DNA methylase
341,ctg1_2585,Sodium:dicarboxylate symporter family
342,ctg1_2586,FKBP-type peptidyl-prolyl cis-trans isomerase
343,ctg1_2587,OPT oligopeptide transporter protein
344,ctg1_2589,Bacterial protein of unknown function (DUF839)
345,ctg1_2589,Bacterial protein of unknown function (DUF839)
346,ctg1_2591,Cupin superfamily (DUF985)
347,ctg1_2592,Response regulator receiver domain
348,ctg1_2593,Response regulator receiver domain
349,ctg1_2593,"Bacterial regulatory proteins, luxR family"
350,ctg1_2647,"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
351,ctg1_2647,"UDP-glucose/GDP-mannose dehydrogenase family, central domain"
352,ctg1_2647,"UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain"
353,ctg1_2648,Major Facilitator Superfamily
354,ctg1_2649,UDP-glucoronosyl and UDP-glucosyl transferase
355,ctg1_2650,"Bacterial regulatory proteins, tetR family"
356,ctg1_2650,"Tetracyclin repressor-like, C-terminal domain"
357,ctg1_2651,Cyclic nucleotide-binding domain
358,ctg1_2651,Phage capsid-like protein
359,ctg1_2652,Cyclic nucleotide-binding domain
360,ctg1_2652,Phage capsid-like protein
361,ctg1_2653,"Terpene synthase family 2, C-terminal metal binding"
362,ctg1_2653,"Terpene synthase family 2, C-terminal metal binding"
363,ctg1_2655,Enoyl-(Acyl carrier protein) reductase
364,ctg1_2656,ROK family
365,ctg1_2658,Transposase DDE domain
366,ctg1_2659,Transposase domain (DUF772)
367,ctg1_2662,Protein kinase domain
368,ctg1_2663,ABC transporter
369,ctg1_2663,ABC transporter
370,ctg1_2663,ABC transporter
371,ctg1_2663,ABC transporter C-terminal domain
372,ctg1_2673,Transglycosylase
373,ctg1_2673,Penicillin binding protein transpeptidase domain
374,ctg1_2673,Penicillin-Binding Protein C-terminus Family
375,ctg1_2675,Predicted membrane protein (DUF2243)
376,ctg1_2676,Carbohydrate esterase 2 N-terminal
377,ctg1_2676,GDSL-like Lipase/Acylhydrolase family
378,ctg1_2676,3-keto-disaccharide hydrolase
379,ctg1_2676,Alpha-L-arabinofuranosidase B (ABFB) domain
380,ctg1_2679,Asp/Glu/Hydantoin racemase
381,ctg1_2680,Helix-turn-helix domain
382,ctg1_2682,"Bacterial regulatory helix-turn-helix protein, lysR family"
383,ctg1_2682,LysR substrate binding domain
384,ctg1_2684,Polyketide cyclase / dehydrase and lipid transport
385,ctg1_2686,DJ-1/PfpI family
386,ctg1_2687,Cytochrome P450
387,ctg1_2688,Condensation domain
388,ctg1_2688,Phosphopantetheine attachment site
389,ctg1_2689,AMP-binding enzyme
390,ctg1_2689,AMP-binding enzyme C-terminal domain
391,ctg1_2689,Phosphopantetheine attachment site
392,ctg1_2689,Condensation domain
393,ctg1_2689,AMP-binding enzyme
394,ctg1_2689,AMP-binding enzyme C-terminal domain
395,ctg1_2689,Phosphopantetheine attachment site
396,ctg1_2690,Enoyl-(Acyl carrier protein) reductase
397,ctg1_2691,"Bacterial regulatory helix-turn-helix protein, lysR family"
398,ctg1_2691,LysR substrate binding domain
399,ctg1_2692,Sigma-70 region 2
400,ctg1_2692,"Sigma-70, region 4"
401,ctg1_2693,Negative regulator of sigma F
402,ctg1_2694,Putative DNA-binding domain
403,ctg1_2695,Protein of unknown function (DUF692)
404,ctg1_2695,Protein of unknown function (DUF692)
405,ctg1_2697,Protein kinase domain
406,ctg1_2699,tRNA-splicing ligase RtcB
407,ctg1_2701,Putative DNA-binding domain
408,ctg1_2702,Protein of unknown function (DUF692)
409,ctg1_2707,Family of unknown function (DUF5694)
410,ctg1_2709,GyrI-like small molecule binding domain
411,ctg1_2711,Tetratricopeptide repeat
412,ctg1_2711,Tetratricopeptide repeat
413,ctg1_2711,Tetratricopeptide repeat
414,ctg1_2711,Tetratricopeptide repeat
415,ctg1_2711,Tetratricopeptide repeat
416,ctg1_2711,Tetratricopeptide repeat
417,ctg1_2711,CHAT domain
418,ctg1_3202,Cytochrome P450
419,ctg1_3205,Putative peptidoglycan binding domain
420,ctg1_3205,N-acetylmuramoyl-L-alanine amidase
421,ctg1_3207,Radical SAM superfamily
422,ctg1_3210,Methyltransferase small domain
423,ctg1_3211,Domain of unknown function (DUF4135)
424,ctg1_3214,"Serine aminopeptidase, S33"
425,ctg1_3215,Bacterial PH domain
426,ctg1_3217,SCO1/SenC
427,ctg1_3272,"Sigma-70, region 4"
428,ctg1_3273,Cellulase (glycosyl hydrolase family 5)
429,ctg1_3273,Fibronectin type III domain
430,ctg1_3273,Cellulose binding domain
431,ctg1_3274,Aldo/keto reductase family
432,ctg1_3275,Protein kinase domain
433,ctg1_3277,Cytochrome P450
434,ctg1_3278,"Terpene synthase family 2, C-terminal metal binding"
435,ctg1_3279,Glycosyltransferase family 28 N-terminal domain
436,ctg1_3280,Leucine carboxyl methyltransferase
437,ctg1_3281,Amidase
438,ctg1_3282,HYR domain
439,ctg1_3282,HYR domain
440,ctg1_3282,HYR domain
441,ctg1_3282,HYR domain
442,ctg1_3516,Glycosyltransferase Family 4
443,ctg1_3516,Glycosyl transferases group 1
444,ctg1_3517,CoA-binding domain
445,ctg1_3517,Bacterial sugar transferase
446,ctg1_3518,"Type II secretion system (T2SS), protein E, N-terminal domain"
447,ctg1_3519,Radical SAM superfamily
448,ctg1_3520,A nuclease family of the HNH/ENDO VII superfamily with conserved AHH
449,ctg1_3522,Response regulator receiver domain
450,ctg1_3525,Ferritin-like
451,ctg1_3526,NAD(P)-binding Rossmann-like domain
452,ctg1_3526,GMC oxidoreductase
453,ctg1_3528,FHA domain
454,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
455,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
456,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
457,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
458,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
459,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
460,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
461,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
462,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
463,ctg1_3530,Regulator of chromosome condensation (RCC1) repeat
464,ctg1_3543,"Type VI secretion, TssG"
465,ctg1_3544,Phage tail baseplate hub (GPD)
466,ctg1_3544,Type VI secretion system/phage-baseplate injector OB domain
467,ctg1_3546,Ricin-type beta-trefoil lectin domain
468,ctg1_3548,Protein of unknown function (DUF692)
469,ctg1_3549,Putative DNA-binding domain
470,ctg1_3550,Response regulator receiver domain
471,ctg1_3550,GAF domain
472,ctg1_3551,Cyclic nucleotide-binding domain
473,ctg1_3551,Crp-like helix-turn-helix domain
474,ctg1_3552,2-hydroxy-palmitic acid dioxygenase Mpo1-like
475,ctg1_3584,Serine hydroxymethyltransferase
476,ctg1_3585,ATP cone domain
477,ctg1_3586,Cytidine and deoxycytidylate deaminase zinc-binding region
478,ctg1_3586,RibD C-terminal domain
479,ctg1_3587,Cytochrome P450
480,ctg1_3588,Cytochrome P450
481,ctg1_3589,Methyl-accepting chemotaxis protein (MCP) signalling domain
482,ctg1_3590,FAD binding domain
483,ctg1_3591,"Terpene synthase family 2, C-terminal metal binding"
484,ctg1_3592,Lumazine binding domain
485,ctg1_3592,Lumazine binding domain
486,ctg1_3593,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
487,ctg1_3593,GTP cyclohydrolase II
488,ctg1_3594,"6,7-dimethyl-8-ribityllumazine synthase"
489,ctg1_3595,NusB family
490,ctg1_3596,"Cytosol aminopeptidase family, N-terminal domain"
491,ctg1_3597,Response regulator receiver domain
492,ctg1_3598,Hpt domain
493,ctg1_3598,"Signal transducing histidine kinase, homodimeric domain"
494,ctg1_3598,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
495,ctg1_3598,CheW-like domain
496,ctg1_3599,CheW-like domain
497,ctg1_3600,CheW-like domain
498,ctg1_3601,HEAT repeats
499,ctg1_3601,HEAT repeats
500,ctg1_3601,HEAT repeats
501,ctg1_3935,Bacterial transcriptional activator domain
502,ctg1_3935,AAA ATPase domain
503,ctg1_3936,Pectinacetylesterase
504,ctg1_3939,Protein of unknown function (DUF692)
505,ctg1_3941,Phosphoribulokinase / Uridine kinase family
506,ctg1_3942,alpha/beta hydrolase fold
507,ctg1_3992,Domain of unknown function (DUF4215)
508,ctg1_3992,Domain of unknown function (DUF4215)
509,ctg1_3992,Domain of unknown function (DUF4215)
510,ctg1_3992,Domain of unknown function (DUF4215)
511,ctg1_3992,Domain of unknown function (DUF4215)
512,ctg1_3992,Domain of unknown function (DUF4215)
513,ctg1_3992,Domain of unknown function (DUF4215)
514,ctg1_3993,Thrombospondin type 3 repeat
515,ctg1_3993,Thrombospondin type 3 repeat
516,ctg1_3993,Thrombospondin type 3 repeat
517,ctg1_3993,Thrombospondin type 3 repeat
518,ctg1_3993,OmpA family
519,ctg1_3994,UvrA DNA-binding domain
520,ctg1_3994,ABC transporter
521,ctg1_3995,MMPL family
522,ctg1_3995,MMPL family
523,ctg1_3996,Squalene-hopene cyclase N-terminal domain
524,ctg1_3996,Squalene-hopene cyclase C-terminal domain
525,ctg1_3997,FAD binding domain
526,ctg1_3997,Squalene-hopene cyclase C-terminal domain
527,ctg1_3997,Squalene/phytoene synthase
528,ctg1_3998,Hsp20/alpha crystallin family
529,ctg1_3999,2OG-Fe dioxygenase
530,ctg1_4000,FBP C-terminal treble-clef zinc-finger
531,ctg1_4002,"Acyl-CoA dehydrogenase, N-terminal domain"
532,ctg1_4002,"Acyl-CoA dehydrogenase, C-terminal domain"
533,ctg1_4003,Retinal pigment epithelial membrane protein
534,ctg1_4004,"Bacterial regulatory proteins, tetR family"
535,ctg1_4004,"Tetracyclin repressor-like, C-terminal domain"
536,ctg1_4372,HsdM N-terminal domain
537,ctg1_4372,N-6 DNA Methylase
538,ctg1_4374,HsdM N-terminal domain
539,ctg1_4374,N-6 DNA Methylase
540,ctg1_4376,Type I restriction enzyme R protein N terminus (HSDR_N)
541,ctg1_4376,SWI2/SNF2 ATPase
542,ctg1_4379,Protein kinase domain
543,ctg1_4379,AAA ATPase domain
544,ctg1_4379,GAF domain
545,ctg1_4379,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
546,ctg1_4381,Flavin containing amine oxidoreductase
547,ctg1_4384,Condensation domain
548,ctg1_4384,AMP-binding enzyme
549,ctg1_4384,AMP-binding enzyme C-terminal domain
