,locus_tag,description
51,ctg1_811,"YcaO cyclodehydratase, ATP-ad Mg2+-binding"
52,ctg1_812,Nitroreductase family
53,ctg1_813,Protein tyrosine and serine/threonine kinase
54,ctg1_813,AAA ATPase domain
55,ctg1_814,Domain of unknown function (DUF4135)
56,ctg1_814,Lanthionine synthetase C-like protein
57,ctg1_819,Putative esterase
58,ctg1_820,SNARE associated Golgi protein
59,ctg1_879,Endonuclease/Exonuclease/phosphatase family
60,ctg1_880,ATPase family associated with various cellular activities (AAA)
61,ctg1_881,VWA domain containing CoxE-like protein
62,ctg1_886,Protein of unknown function (DUF3396)
63,ctg1_888,Cytochrome P450
64,ctg1_889,"Terpene synthase family 2, C-terminal metal binding"
65,ctg1_890,Sigma-70 region 2
66,ctg1_890,"Sigma-70, region 4"
67,ctg1_890,Family of unknown function (DUF6596)
68,ctg1_891,YCII-related domain
69,ctg1_892,Beta barrel Pore-forming domain
70,ctg1_894,"Bacteriocin-protection, YdeI or OmpD-Associated"
71,ctg1_895,Family of unknown function (DUF6068)
72,ctg1_1154,Putative metal-binding motif
73,ctg1_1154,Putative metal-binding motif
74,ctg1_1155,Protein kinase domain
75,ctg1_1157,FHA domain
76,ctg1_1158,Calcineurin-like phosphoesterase
77,ctg1_1159,NAD dependent epimerase/dehydratase family
78,ctg1_1159,Domain of unknown function (DUF1731)
79,ctg1_1161,Polyprenyl synthetase
80,ctg1_1162,Flavin containing amine oxidoreductase
81,ctg1_1163,Squalene/phytoene synthase
82,ctg1_1164,Flavin containing amine oxidoreductase
83,ctg1_1166,Glycosyl transferase family 21
84,ctg1_1168,Lycopene cyclase
85,ctg1_1169,Acyltransferase
86,ctg1_1170,MerR HTH family regulatory protein
87,ctg1_1170,B12 binding domain
88,ctg1_1170,B12 binding domain
89,ctg1_1171,Amidohydrolase family
90,ctg1_1172,SnoaL-like polyketide cyclase
91,ctg1_1173,Domain of unknown function (DUF4265)
92,ctg1_1675,Phosphofructokinase
93,ctg1_1677,Uncharacterized protein conserved in bacteria (DUF2169)
94,ctg1_1679,Toxin PAAR-like domain
95,ctg1_1682,Domain of unknown function (DUF4135)
96,ctg1_1682,Lanthionine synthetase C-like protein
97,ctg1_1683,Phosphotransferase enzyme family
98,ctg1_1684,LysE type translocator
99,ctg1_1687,"Anthranilate synthase component I, N terminal region"
100,ctg1_1687,chorismate binding enzyme
101,ctg1_1688,Glutamine amidotransferase class-I
102,ctg1_1689,Amino-transferase class IV
103,ctg1_1691,Acetyltransferase (GNAT) family
104,ctg1_1692,Alpha/beta hydrolase family
105,ctg1_1693,Sigma-70 region 2
106,ctg1_1694,"Sigma-70, region 4"
107,ctg1_1726,Transglycosylase associated protein
108,ctg1_1727,Radical SAM superfamily
109,ctg1_1727,Biotin and Thiamin Synthesis associated domain
110,ctg1_1728,Aminotransferase class I and II
111,ctg1_1729,AAA domain
112,ctg1_1731,Aminotransferase class I and II
113,ctg1_1733,OPT oligopeptide transporter protein
114,ctg1_1735,Enoyl-(Acyl carrier protein) reductase
115,ctg1_1736,Methyl-accepting chemotaxis protein (MCP) signalling domain
116,ctg1_1737,4'-phosphopantetheinyl transferase N-terminal domain
117,ctg1_1737,4'-phosphopantetheinyl transferase superfamily
118,ctg1_1738,"Beta-ketoacyl synthase, N-terminal domain"
119,ctg1_1738,"Beta-ketoacyl synthase, C-terminal domain"
120,ctg1_1738,"Beta-ketoacyl synthase, N-terminal domain"
121,ctg1_1738,"Beta-ketoacyl synthase, C-terminal domain"
122,ctg1_1738,Ketoacyl-synthetase C-terminal extension
123,ctg1_1738,KR domain
124,ctg1_1738,Polyketide synthase dehydratase
125,ctg1_1740,"Beta-ketoacyl synthase, N-terminal domain"
126,ctg1_1740,"Beta-ketoacyl synthase, C-terminal domain"
127,ctg1_1740,"Beta-ketoacyl synthase, N-terminal domain"
128,ctg1_1740,"Beta-ketoacyl synthase, C-terminal domain"
129,ctg1_1740,Ketoacyl-synthetase C-terminal extension
130,ctg1_1740,Acyl transferase domain
131,ctg1_1741,Prokaryotic N-terminal methylation motif
132,ctg1_1741,"Type II secretion system (T2SS), protein G"
133,ctg1_1742,Family of unknown function (DUF5335)
134,ctg1_1743,Receptor family ligand binding region
135,ctg1_1745,Phosphoenolpyruvate carboxykinase N-terminal domain
136,ctg1_1745,Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
137,ctg1_1746,Citrate transporter
138,ctg1_1746,TrkA-C domain
139,ctg1_1746,Sodium:sulfate symporter transmembrane region
140,ctg1_1747,Membrane dipeptidase (Peptidase family M19)
141,ctg1_1747,Dickkopf N-terminal cysteine-rich region
142,ctg1_1748,"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain"
143,ctg1_1748,Molybdopterin cofactor-binding domain
144,ctg1_1748,Molybdopterin cofactor-binding domain
145,ctg1_1749,FAD binding domain in molybdopterin dehydrogenase
146,ctg1_1749,CO dehydrogenase flavoprotein C-terminal domain
147,ctg1_1750,2Fe-2S iron-sulfur cluster binding domain
148,ctg1_1750,[2Fe-2S] binding domain
149,ctg1_1751,Major Facilitator Superfamily
150,ctg1_1752,Glycoside hydrolase family 44
151,ctg1_1752,PKD domain
152,ctg1_1753,tRNA-(MS[2]IO[6]A)-hydroxylase (MiaE)
153,ctg1_1753,tRNA-(MS[2]IO[6]A)-hydroxylase (MiaE)
154,ctg1_1754,Histidine phosphatase superfamily (branch 1)
155,ctg1_1755,Uncharacterized conserved protein (DUF2267)
156,ctg1_1997,Hemerythrin HHE cation binding domain
157,ctg1_1998,RNA pseudouridylate synthase
158,ctg1_2000,N-formylglutamate amidohydrolase
159,ctg1_2001,Amidohydrolase family
160,ctg1_2002,Helix-turn-helix domain
161,ctg1_2003,Protein kinase domain
162,ctg1_2003,Lanthionine synthetase C-like protein
163,ctg1_2005,Ricin-type beta-trefoil lectin domain
164,ctg1_2007,Ricin-type beta-trefoil lectin domain
165,ctg1_2008,"Sigma-70, region 4"
166,ctg1_2009,Protein kinase domain
167,ctg1_2009,Sulfatase-modifying factor enzyme 1
168,ctg1_2010,ADYC domain
169,ctg1_2105,Domain of unknown function (DUF4112)
170,ctg1_2106,Domain of unknown function (DUF4874)
171,ctg1_2106,Domain of unknown function (DUF4832)
172,ctg1_2107,Alcohol dehydrogenase GroES-associated
173,ctg1_2107,Alcohol dehydrogenase GroES-like domain
174,ctg1_2107,Zinc-binding dehydrogenase
175,ctg1_2108,Polyketide cyclase / dehydrase and lipid transport
176,ctg1_2109,Phosphate-selective porin O and P
177,ctg1_2113,"Lantibiotic dehydratase, N terminus"
178,ctg1_2113,Lantibiotic biosynthesis dehydratase C-term
179,ctg1_2114,Lanthionine synthetase C-like protein
180,ctg1_2116,Phosphoribulokinase / Uridine kinase family
181,ctg1_2117,ArgJ family
182,ctg1_2121,Carbohydrate esterase 2 N-terminal
183,ctg1_2121,GDSL-like Lipase/Acylhydrolase family
184,ctg1_2122,AAA domain (Cdc48 subfamily)
185,ctg1_2122,"C-terminal, D2-small domain, of ClpB protein"
186,ctg1_2122,PCRF domain
187,ctg1_2123,Integrase core domain
188,ctg1_2124,PAS fold
189,ctg1_2124,His Kinase A (phospho-acceptor) domain
190,ctg1_2124,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
191,ctg1_2124,Response regulator receiver domain
192,ctg1_2124,PAS fold
193,ctg1_2124,PAS fold
194,ctg1_2124,GAF domain
195,ctg1_2124,His Kinase A (phospho-acceptor) domain
196,ctg1_2124,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
197,ctg1_2125,Protein of unknown function (DUF2381)
198,ctg1_2127,Serine endopeptidase inhibitors
199,ctg1_2128,RimK-like ATP-grasp domain
200,ctg1_2131,ThiF family
201,ctg1_2133,Protein of unknown function (DUF1684)
202,ctg1_2134,Galactose mutarotase-like
203,ctg1_2134,Glycosyl hydrolases family 31
204,ctg1_2135,Prokaryotic homologs of the JAB domain
205,ctg1_2137,von Willebrand factor type A domain
206,ctg1_2139,Response regulator receiver domain
207,ctg1_2140,Response regulator receiver domain
208,ctg1_2140,PAS fold
209,ctg1_2140,His Kinase A (phospho-acceptor) domain
210,ctg1_2140,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
211,ctg1_2141,Calcineurin-like phosphoesterase
212,ctg1_2142,Sigma-70 region 2
213,ctg1_2144,NAD(P)H-binding
214,ctg1_2145,Thioesterase superfamily
215,ctg1_2147,UvrD/REP helicase N-terminal domain
216,ctg1_2147,UvrD-like helicase C-terminal domain
217,ctg1_2148,MatE
218,ctg1_2148,MatE
219,ctg1_2149,Adenosine deaminase
220,ctg1_2150,Enoyl-(Acyl carrier protein) reductase
221,ctg1_2152,Nucleotidyl transferase
222,ctg1_2153,FHA domain
223,ctg1_2153,"Diguanylate cyclase, GGDEF domain"
224,ctg1_2154,NAD dependent epimerase/dehydratase family
225,ctg1_2155,Male sterility protein
226,ctg1_2155,AMP-binding enzyme
227,ctg1_2155,AMP-binding enzyme C-terminal domain
228,ctg1_2155,Phosphopantetheine attachment site
229,ctg1_2155,Acyltransferase
230,ctg1_2156,Lactate racemase N-terminal domain
231,ctg1_2157,haloacid dehalogenase-like hydrolase
232,ctg1_2158,NAD dependent epimerase/dehydratase family
233,ctg1_2159,SWIB/MDM2 domain
234,ctg1_2160,"Alpha amylase, catalytic domain"
235,ctg1_2161,Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
236,ctg1_2161,"Alpha amylase, catalytic domain"
237,ctg1_2162,Integral membrane protein TerC family
238,ctg1_2163,ApaG domain
239,ctg1_2164,Ferrochelatase
240,ctg1_2166,Telomere recombination
241,ctg1_2166,"Threonylcarbamoyl-AMP synthase, C-terminal domain"
242,ctg1_2167,Polyketide cyclase / dehydrase and lipid transport
243,ctg1_2167,NAD dependent epimerase/dehydratase family
244,ctg1_2167,Domain of unknown function (DUF1731)
245,ctg1_2168,alpha/beta hydrolase fold
246,ctg1_2169,PKD domain
247,ctg1_2169,F5/8 type C domain
248,ctg1_2170,Protein of unknown function (DUF3089)
249,ctg1_2376,"Glutathione S-transferase, N-terminal domain"
250,ctg1_2376,"Glutathione S-transferase, C-terminal domain"
251,ctg1_2377,"Cytosol aminopeptidase family, N-terminal domain"
252,ctg1_2378,FHA domain
253,ctg1_2379,Helicase conserved C-terminal domain
254,ctg1_2381,Prolyl oligopeptidase family
255,ctg1_2382,Radical SAM superfamily
256,ctg1_2382,Iron-sulfur cluster-binding domain
257,ctg1_2383,Coenzyme PQQ synthesis protein D (PqqD)
258,ctg1_2384,TENA/THI-4/PQQC family
259,ctg1_2385,Beta-lactamase superfamily domain
260,ctg1_2386,Insulinase (Peptidase family M16)
261,ctg1_2386,Peptidase M16 inactive domain
262,ctg1_2387,Transposase IS200 like
263,ctg1_2388,Bacterial Ig domain
264,ctg1_2388,Bacterial Ig domain
265,ctg1_2391,Sulfatase-modifying factor enzyme 1
266,ctg1_2392,Sigma-70 region 2
267,ctg1_2392,"Sigma-70, region 4"
268,ctg1_2423,Sigma-70 region 2
269,ctg1_2423,"Sigma-70, region 4"
270,ctg1_2426,GDSL-like Lipase/Acylhydrolase family
271,ctg1_2428,Putative zinc-finger
272,ctg1_2429,Sigma-70 region 2
273,ctg1_2429,"Sigma-70, region 4"
274,ctg1_2432,"YcaO cyclodehydratase, ATP-ad Mg2+-binding"
275,ctg1_2433,TfuA-like protein
276,ctg1_2434,DNA methylase
277,ctg1_2435,Sodium:dicarboxylate symporter family
278,ctg1_2436,FKBP-type peptidyl-prolyl cis-trans isomerase
279,ctg1_2437,OPT oligopeptide transporter protein
280,ctg1_2439,Bacterial protein of unknown function (DUF839)
281,ctg1_2439,Bacterial protein of unknown function (DUF839)
282,ctg1_2439,WD40-like Beta Propeller Repeat
283,ctg1_2441,Cupin superfamily (DUF985)
284,ctg1_2442,Response regulator receiver domain
285,ctg1_2443,Response regulator receiver domain
286,ctg1_2443,"Bacterial regulatory proteins, luxR family"
287,ctg1_2511,"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
288,ctg1_2511,"UDP-glucose/GDP-mannose dehydrogenase family, central domain"
289,ctg1_2511,"UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain"
290,ctg1_2512,Major Facilitator Superfamily
291,ctg1_2513,UDP-glucoronosyl and UDP-glucosyl transferase
292,ctg1_2514,"Bacterial regulatory proteins, tetR family"
293,ctg1_2514,"Tetracyclin repressor-like, C-terminal domain"
294,ctg1_2515,Cyclic nucleotide-binding domain
295,ctg1_2515,Phage capsid-like protein
296,ctg1_2516,Cyclic nucleotide-binding domain
297,ctg1_2516,Phage capsid-like protein
298,ctg1_2517,"Terpene synthase family 2, C-terminal metal binding"
299,ctg1_2517,"Terpene synthase family 2, C-terminal metal binding"
300,ctg1_2519,Enoyl-(Acyl carrier protein) reductase
301,ctg1_2520,Peptidase C39 family
302,ctg1_2520,ABC transporter transmembrane region
303,ctg1_2520,ABC transporter
304,ctg1_2521,HlyD family secretion protein
305,ctg1_2522,Biotin-lipoyl like
306,ctg1_2522,HlyD family secretion protein
307,ctg1_2523,ROK family
308,ctg1_2526,Protein kinase domain
309,ctg1_2556,Endoribonuclease L-PSP
310,ctg1_2557,Sigma-70 region 2
311,ctg1_2557,"Sigma-70, region 4"
312,ctg1_2558,Negative regulator of sigma F
313,ctg1_2559,Putative DNA-binding domain
314,ctg1_2560,Protein of unknown function (DUF692)
315,ctg1_3060,Tellurite resistance protein TerB
316,ctg1_3060,Tellurite resistance protein TerB
317,ctg1_3063,Flavin containing amine oxidoreductase
318,ctg1_3064,"Protein of unknown function, DUF417"
319,ctg1_3065,"Sigma-70, region 4"
320,ctg1_3066,Cellulase (glycosyl hydrolase family 5)
321,ctg1_3066,Fibronectin type III domain
322,ctg1_3066,Cellulose binding domain
323,ctg1_3068,Aldo/keto reductase family
324,ctg1_3069,Protein kinase domain
325,ctg1_3071,Cellulase (glycosyl hydrolase family 5)
326,ctg1_3071,Cellulase (glycosyl hydrolase family 5)
327,ctg1_3072,Amidase
328,ctg1_3073,Domain of unknown function (DUF1864)
329,ctg1_3074,Uncharacterized conserved protein (DUF2285)
330,ctg1_3075,Nucleotidyl transferase
331,ctg1_3076,3-dehydroquinate synthase
332,ctg1_3077,Xylose isomerase-like TIM barrel
333,ctg1_3078,RmlD substrate binding domain
334,ctg1_3079,Glycosyltransferase family 20
335,ctg1_3080,Aminotransferase class-III
336,ctg1_3082,Major Facilitator Superfamily
337,ctg1_3083,BadF/BadG/BcrA/BcrD ATPase family
338,ctg1_3084,Domain of unknown function (DUF1993)
339,ctg1_3085,Fatty acid hydroxylase
340,ctg1_3086,FHA domain
341,ctg1_3087,Domain of unknown function (DUF5122) beta-propeller
342,ctg1_3087,Domain of unknown function (DUF5122) beta-propeller
343,ctg1_3088,Glycosyl hydrolases family 43
344,ctg1_3090,Domain of unknown function (DUF1330)
345,ctg1_3696,Bacterial transcriptional activator domain
346,ctg1_3696,AAA ATPase domain
347,ctg1_3697,Pectinacetylesterase
348,ctg1_3700,Protein of unknown function (DUF692)
349,ctg1_3702,Phosphoribulokinase / Uridine kinase family
350,ctg1_3703,alpha/beta hydrolase fold
351,ctg1_3759,Domain of unknown function (DUF4215)
352,ctg1_3759,Domain of unknown function (DUF4215)
353,ctg1_3759,Domain of unknown function (DUF4215)
354,ctg1_3759,Domain of unknown function (DUF4215)
355,ctg1_3759,Domain of unknown function (DUF4215)
356,ctg1_3759,Domain of unknown function (DUF4215)
357,ctg1_3759,Domain of unknown function (DUF4215)
358,ctg1_3760,Thrombospondin type 3 repeat
359,ctg1_3760,Thrombospondin type 3 repeat
360,ctg1_3760,Thrombospondin type 3 repeat
361,ctg1_3760,Thrombospondin type 3 repeat
362,ctg1_3760,OmpA family
363,ctg1_3761,UvrA DNA-binding domain
364,ctg1_3761,ABC transporter
365,ctg1_3762,MMPL family
366,ctg1_3762,MMPL family
367,ctg1_3763,Squalene-hopene cyclase N-terminal domain
368,ctg1_3763,Squalene-hopene cyclase C-terminal domain
369,ctg1_3764,FAD binding domain
370,ctg1_3764,Squalene-hopene cyclase C-terminal domain
371,ctg1_3764,Squalene/phytoene synthase
372,ctg1_3765,Hsp20/alpha crystallin family
373,ctg1_3766,2OG-Fe dioxygenase
374,ctg1_3767,FBP C-terminal treble-clef zinc-finger
375,ctg1_3769,"Acyl-CoA dehydrogenase, N-terminal domain"
376,ctg1_3769,"Acyl-CoA dehydrogenase, C-terminal domain"
377,ctg1_3770,Retinal pigment epithelial membrane protein
378,ctg1_3771,"Bacterial regulatory proteins, tetR family"
379,ctg1_3771,"Tetracyclin repressor-like, C-terminal domain"
380,ctg1_4129,short chain dehydrogenase
381,ctg1_4130,"Bacterial regulatory helix-turn-helix protein, lysR family"
382,ctg1_4130,LysR substrate binding domain
383,ctg1_4134,Protein kinase domain
384,ctg1_4135,"Sigma-70, region 4"
385,ctg1_4137,SMODS-associated and fused to various effectors sensor domain
386,ctg1_4138,Protein kinase domain
387,ctg1_4139,Transposase DDE domain
388,ctg1_4140,Transposase domain (DUF772)
389,ctg1_4142,Protein kinase domain
390,ctg1_4142,AAA ATPase domain
391,ctg1_4142,GAF domain
392,ctg1_4142,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
393,ctg1_4144,Condensation domain
394,ctg1_4144,AMP-binding enzyme
395,ctg1_4144,AMP-binding enzyme C-terminal domain
396,ctg1_4144,Phosphopantetheine attachment site
397,ctg1_4144,Condensation domain
398,ctg1_4144,Condensation domain
399,ctg1_4144,AMP-binding enzyme
400,ctg1_4144,AMP-binding enzyme C-terminal domain
401,ctg1_4144,Phosphopantetheine attachment site
402,ctg1_4144,Condensation domain
403,ctg1_4144,AMP-binding enzyme
404,ctg1_4144,AMP-binding enzyme C-terminal domain
405,ctg1_4144,Phosphopantetheine attachment site
406,ctg1_4144,Thioesterase domain
407,ctg1_4145,AMP-binding enzyme
408,ctg1_4149,Dual-action HEIGH metallo-peptidase
409,ctg1_4149,FG-GAP-like repeat
410,ctg1_4149,FG-GAP-like repeat
411,ctg1_4151,"Glutathione S-transferase, N-terminal domain"
412,ctg1_4152,Zinc-binding dehydrogenase
413,ctg1_4153,Aldo/keto reductase family
414,ctg1_4154,"Bacterial regulatory helix-turn-helix protein, lysR family"
415,ctg1_4154,LysR substrate binding domain
416,ctg1_4155,"Bacterial regulatory proteins, tetR family"
417,ctg1_4156,short chain dehydrogenase
418,ctg1_4157,Enoyl-(Acyl carrier protein) reductase
419,ctg1_4158,"Bacterial regulatory helix-turn-helix protein, lysR family"
420,ctg1_4158,LysR substrate binding domain
421,ctg1_4301,FAD binding domain
422,ctg1_4302,Histidine phosphatase superfamily (branch 1)
423,ctg1_4303,Phosphotransferase enzyme family
424,ctg1_4304,short chain dehydrogenase
425,ctg1_4305,"Acyl-CoA dehydrogenase, N-terminal domain"
426,ctg1_4305,"Acyl-CoA dehydrogenase, middle domain"
427,ctg1_4305,"Acyl-CoA dehydrogenase, C-terminal domain"
428,ctg1_4306,"Bacterial regulatory helix-turn-helix protein, lysR family"
429,ctg1_4306,LysR substrate binding domain
430,ctg1_4307,Phosphomethylpyrimidine kinase
431,ctg1_4308,Poly A polymerase head domain
432,ctg1_4308,Probable RNA and SrmB- binding site of polymerase A
433,ctg1_4308,tRNA nucleotidyltransferase domain 2 putative
434,ctg1_4309,HlyD family secretion protein
435,ctg1_4310,"Lantibiotic dehydratase, N terminus"
436,ctg1_4310,Lantibiotic biosynthesis dehydratase C-term
437,ctg1_4311,Lanthionine synthetase C-like protein
438,ctg1_4312,Biotin-lipoyl like
439,ctg1_4312,HlyD family secretion protein
440,ctg1_4313,Peptidase C39 family
441,ctg1_4313,ABC transporter transmembrane region
442,ctg1_4313,ABC transporter
443,ctg1_4316,tRNA methyl transferase HUP domain
444,ctg1_4316,tRNA methyl transferase PRC-barrel domain
445,ctg1_4316,Aminomethyltransferase beta-barrel domain
446,ctg1_4317,SPOR domain
447,ctg1_4318,"Phosphomannose isomerase type I, catalytic domain"
448,ctg1_4436,Antibiotic biosynthesis monooxygenase
449,ctg1_4437,Polysaccharide lyase
450,ctg1_4438,"Bacterial regulatory proteins, luxR family"
451,ctg1_4439,Trypsin-like peptidase domain
452,ctg1_4439,PDZ domain
453,ctg1_4440,Trypsin-like peptidase domain
454,ctg1_4440,PDZ domain
455,ctg1_4442,Y_Y_Y domain
456,ctg1_4442,Histidine kinase
457,ctg1_4442,Histidine kinase-like ATPase domain
458,ctg1_4443,Cytochrome P450
459,ctg1_4444,"Terpene synthase family 2, C-terminal metal binding"
460,ctg1_4445,Glycosyltransferase family 28 N-terminal domain
461,ctg1_4446,Leucine carboxyl methyltransferase
462,ctg1_4447,Glycosyl transferase family 2
463,ctg1_4448,Cytochrome P450
464,ctg1_4449,Aconitase family (aconitate hydratase)
465,ctg1_4449,Aconitase C-terminal domain
466,ctg1_4450,Thioredoxin
467,ctg1_4520,WD40-like Beta Propeller Repeat
468,ctg1_4520,WD40-like Beta Propeller Repeat
469,ctg1_4520,WD40-like Beta Propeller Repeat
470,ctg1_4520,WD40-like Beta Propeller Repeat
471,ctg1_4520,Amidohydrolase family
472,ctg1_4521,Ferric reductase like transmembrane component
473,ctg1_4522,Putative DNA-binding domain
474,ctg1_4523,Protein of unknown function (DUF692)
475,ctg1_4524,EF-hand domain pair
476,ctg1_4525,Alpha/beta hydrolase family
477,ctg1_4526,Cytochrome C biogenesis protein transmembrane region
478,ctg1_4527,AhpC/TSA family
479,ctg1_4528,Response regulator receiver domain
480,ctg1_4528,"Transcriptional regulatory protein, C terminal"
481,ctg1_4998,"FGGY family of carbohydrate kinases, N-terminal domain"
482,ctg1_4998,"FGGY family of carbohydrate kinases, C-terminal domain"
483,ctg1_4999,L-arabinose isomerase
484,ctg1_4999,L-arabinose isomerase C-terminal domain
485,ctg1_5000,Periplasmic binding protein domain
486,ctg1_5001,ABC transporter
487,ctg1_5001,ABC transporter
488,ctg1_5002,Branched-chain amino acid transport system / permease component
489,ctg1_5003,Branched-chain amino acid transport system / permease component
490,ctg1_5004,Class II Aldolase and Adducin N-terminal domain
491,ctg1_5005,Glycosyl hydrolases family 43
492,ctg1_5005,Alpha-L-arabinofuranosidase B (ABFB) domain
493,ctg1_5006,Glycosyl hydrolases family 43
494,ctg1_5006,Alpha-L-arabinofuranosidase B (ABFB) domain
495,ctg1_5007,von Willebrand factor type A domain
496,ctg1_5008,Response regulator receiver domain
497,ctg1_5008,"Transcriptional regulatory protein, C terminal"
498,ctg1_5009,His Kinase A (phospho-acceptor) domain
499,ctg1_5009,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
500,ctg1_5010,Ricin-type beta-trefoil lectin domain-like
501,ctg1_5011,SnoaL-like domain
502,ctg1_5012,AMP-binding enzyme
503,ctg1_5012,AMP-binding enzyme C-terminal domain
504,ctg1_5013,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
505,ctg1_5013,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
506,ctg1_5015,Penicillin binding protein transpeptidase domain
507,ctg1_5015,Stage II sporulation protein
508,ctg1_5016,"Glucodextranase, domain B"
509,ctg1_5016,Uncharacterized protein conserved in bacteria (DUF2135)
510,ctg1_5017,MG2 domain
511,ctg1_5017,Alpha-2-macroglobulin bait region domain
512,ctg1_5017,Alpha-2-macroglobulin family
513,ctg1_5017,A-macroglobulin TED domain
514,ctg1_5017,A-macroglobulin TED domain
515,ctg1_5017,Bacterial Alpha-2-macroglobulin MG10 domain
516,ctg1_5018,Protein of unknown function (DUF1175)
517,ctg1_5020,F5/8 type C domain
518,ctg1_5020,F5/8 type C domain
519,ctg1_5020,F5/8 type C domain
520,ctg1_5020,Glycosyl hydrolase family 81 C-terminal domain
521,ctg1_5021,Cellulase (glycosyl hydrolase family 5)
522,ctg1_5022,Ricin-type beta-trefoil lectin domain
523,ctg1_5022,Glycosyl hydrolases family 18
524,ctg1_5023,Cellulose binding domain
525,ctg1_5024,RNA 3'-terminal phosphate cyclase
526,ctg1_5244,Alpha/beta hydrolase family
527,ctg1_5245,Enoyl-(Acyl carrier protein) reductase
528,ctg1_5246,Haem degrading protein HbpS-like
529,ctg1_5247,Copper/zinc superoxide dismutase (SODC)
530,ctg1_5248,ABC transporter
531,ctg1_5248,ABC transporter
532,ctg1_5249,GAF domain
533,ctg1_5249,His Kinase A (phospho-acceptor) domain
534,ctg1_5249,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
535,ctg1_5250,Type I restriction enzyme R protein N terminus (HSDR_N)
536,ctg1_5251,NB-ARC domain
537,ctg1_5253,Activator of Hsp90 ATPase homolog 1-like protein
538,ctg1_5254,2OG-Fe(II) oxygenase superfamily
539,ctg1_5255,Redoxin
540,ctg1_5256,Bacterial transcriptional activator domain
541,ctg1_5256,AAA ATPase domain
542,ctg1_5260,"Beta-ketoacyl synthase, N-terminal domain"
543,ctg1_5260,"Beta-ketoacyl synthase, C-terminal domain"
544,ctg1_5260,Ketoacyl-synthetase C-terminal extension
545,ctg1_5260,Acyl transferase domain
546,ctg1_5260,Phosphopantetheine attachment site
547,ctg1_5260,Aminotransferase class-III
548,ctg1_5260,Luciferase-like monooxygenase
549,ctg1_5260,Condensation domain
